"mat_id", "mat_eq_id_1", "mat_eq_id_2", "mat_eq_id_3", "mat_eq_id_4", "mat_journee", "mat_statut", "mat_pou_id", "mat_sai_annee", "mat_commentaire"
"20240000","1",NULL,NULL,NULL,NULL,"0","1","2024",""
"20240040","13","41","287",NULL,"1","0","11","2024",""
"20240041","306","61","15",NULL,"1","0","11","2024",""
"20240042","9","4","32",NULL,"1","0","11","2024",""
"20240043","295","11","23",NULL,"1","0","11","2024",""
"20240044","41","306","10",NULL,"2","0","11","2024",""
"20240046","7","61","65",NULL,"2","0","11","2024",""
"20240047","295","13","19",NULL,"2","0","11","2024",""
"20240048","11","9","323",NULL,"2","0","11","2024",""
"20240050","306","295","28",NULL,"3","0","11","2024",""
"20240051","4","11","287",NULL,"3","0","11","2024",""
"20240052","9","13","15",NULL,"3","0","11","2024",""
"20240053","41","7","32",NULL,"3","0","11","2024",""
"20240054","9","306","23",NULL,"4","0","11","2024",""
"20240055","61","41","10",NULL,"4","0","11","2024",""
"20240057","295","7","65",NULL,"4","0","11","2024",""
"20240058","13","4","19",NULL,"4","0","11","2024",""
"20240060","13","11","323",NULL,"5","0","11","2024",""
"20240061","4","306","28",NULL,"5","0","11","2024",""
"20240062","61","295","287",NULL,"5","0","11","2024",""
"20240063","7","9","15",NULL,"5","0","11","2024",""
"20240064","306","11","32",NULL,"6","0","11","2024",""
"20240065","295","41","23",NULL,"6","0","11","2024",""
"20240066","4","7","10",NULL,"6","0","11","2024",""
"20240068","9","61","65",NULL,"6","0","11","2024",""
"20240069","13","306","19",NULL,"7","0","11","2024",""
"20240070","7","11","323",NULL,"7","0","11","2024",""
"20240072","4","61","28",NULL,"7","0","11","2024",""
"20240073","9","41","287",NULL,"7","0","11","2024",""
"20240074","41","4","15",NULL,"8","0","11","2024",""
"20240075","295","9","32",NULL,"8","0","11","2024",""
"20240077","13","7","23",NULL,"8","0","11","2024",""
"20240078","61","11","10",NULL,"8","0","11","2024",""
"20240079","13","61","65",NULL,"9","0","11","2024",""
"20240080","306","7","19",NULL,"9","0","11","2024",""
"20240081","41","11","323",NULL,"9","0","11","2024",""
"20240083","295","4","28",NULL,"9","0","11","2024",""
"20240084","41","13","287",NULL,"10","0","11","2024",""
"20240085","61","306","15",NULL,"10","0","11","2024",""
"20240086","4","9","32",NULL,"10","0","11","2024",""
"20240087","11","295","23",NULL,"10","0","11","2024",""
"20240088","306","41","10",NULL,"11","0","11","2024",""
"20240089","61","7","65",NULL,"11","0","11","2024",""
"20240090","13","295","19",NULL,"11","0","11","2024",""
"20240091","9","11","323",NULL,"11","0","11","2024",""
"20240092","295","306","28",NULL,"12","0","11","2024",""
"20240093","11","4","287",NULL,"12","0","11","2024",""
"20240094","13","9","15",NULL,"12","0","11","2024",""
"20240095","7","41","32",NULL,"12","0","11","2024",""
"20240096","306","9","23",NULL,"13","0","11","2024",""
"20240097","41","61","10",NULL,"13","0","11","2024",""
"20240098","7","295","65",NULL,"13","0","11","2024",""
"20240099","4","13","19",NULL,"13","0","11","2024",""
"20240100","11","13","323",NULL,"14","0","11","2024",""
"20240101","306","4","28",NULL,"14","0","11","2024",""
"20240102","295","61","287",NULL,"14","0","11","2024",""
"20240103","9","7","15",NULL,"14","0","11","2024",""
"20240104","11","306","32",NULL,"15","0","11","2024",""
"20240105","41","295","23",NULL,"15","0","11","2024",""
"20240106","7","4","10",NULL,"15","0","11","2024",""
"20240107","61","9","65",NULL,"15","0","11","2024",""
"20240108","306","13","19",NULL,"16","0","11","2024",""
"20240109","11","7","323",NULL,"16","0","11","2024",""
"20240110","61","4","28",NULL,"16","0","11","2024",""
"20240111","41","9","287",NULL,"16","0","11","2024",""
"20240112","4","41","15",NULL,"17","0","11","2024",""
"20240113","9","295","32",NULL,"17","0","11","2024",""
"20240114","7","13","23",NULL,"17","0","11","2024",""
"20240115","11","61","10",NULL,"17","0","11","2024",""
"20240116","61","13","65",NULL,"18","0","11","2024",""
"20240117","7","306","19",NULL,"18","0","11","2024",""
"20240118","11","41","323",NULL,"18","0","11","2024",""
"20240119","4","295","28",NULL,"18","0","11","2024",""
"20240120","15","28","319",NULL,"1","0","12","2024",""
"20240122","19","23","310",NULL,"1","0","12","2024",""
"20240123","10","65","34",NULL,"1","0","12","2024",""
"20240124","323","32","47",NULL,"1","0","12","2024",""
"20240125","15","287","31",NULL,"2","0","12","2024",""
"20240127","323","23","56",NULL,"2","0","12","2024",""
"20240128","32","28","17",NULL,"2","0","12","2024",""
"20240129","19","10","20000253",NULL,"2","0","12","2024",""
"20240131","19","65","317",NULL,"3","0","12","2024",""
"20240132","28","23","319",NULL,"3","0","12","2024",""
"20240133","323","10","310",NULL,"3","0","12","2024",""
"20240134","287","32","34",NULL,"3","0","12","2024",""
"20240135","23","287","47",NULL,"4","0","12","2024",""
"20240137","32","15","31",NULL,"4","0","12","2024",""
"20240138","323","65","56",NULL,"4","0","12","2024",""
"20240139","28","10","17",NULL,"4","0","12","2024",""
"20240140","65","28","20000253",NULL,"5","0","12","2024",""
"20240141","15","23","317",NULL,"5","0","12","2024",""
"20240143","287","10","319",NULL,"5","0","12","2024",""
"20240144","19","323","310",NULL,"5","0","12","2024",""
"20240145","65","287","34",NULL,"6","0","12","2024",""
"20240146","28","19","47",NULL,"6","0","12","2024",""
"20240147","23","32","31",NULL,"6","0","12","2024",""
"20240149","15","10","56",NULL,"6","0","12","2024",""
"20240150","32","10","17",NULL,"7","0","12","2024",""
"20240151","19","287","20000253",NULL,"7","0","12","2024",""
"20240152","323","28","317",NULL,"7","0","12","2024",""
"20240154","15","65","319",NULL,"7","0","12","2024",""
"20240156","323","287","310",NULL,"8","0","12","2024",""
"20240157","10","23","34",NULL,"8","0","12","2024",""
"20240158","32","65","47",NULL,"8","0","12","2024",""
"20240159","19","15","31",NULL,"8","0","12","2024",""
"20240160","65","23","56",NULL,"9","0","12","2024",""
"20240161","28","287","17",NULL,"9","0","12","2024",""
"20240162","32","19","20000253",NULL,"9","0","12","2024",""
"20240164","323","15","317",NULL,"9","0","12","2024",""
"20240165","28","15","319",NULL,"10","0","12","2024",""
"20240166","23","19","310",NULL,"10","0","12","2024",""
"20240167","65","10","34",NULL,"10","0","12","2024",""
"20240168","32","323","47",NULL,"10","0","12","2024",""
"20240169","287","15","31",NULL,"11","0","12","2024",""
"20240170","23","323","56",NULL,"11","0","12","2024",""
"20240171","28","32","17",NULL,"11","0","12","2024",""
"20240172","10","19","20000253",NULL,"11","0","12","2024",""
"20240173","65","19","317",NULL,"12","0","12","2024",""
"20240174","23","28","319",NULL,"12","0","12","2024",""
"20240175","10","323","310",NULL,"12","0","12","2024",""
"20240176","32","287","34",NULL,"12","0","12","2024",""
"20240177","287","23","47",NULL,"13","0","12","2024",""
"20240178","15","32","31",NULL,"13","0","12","2024",""
"20240179","65","323","56",NULL,"13","0","12","2024",""
"20240180","10","28","17",NULL,"13","0","12","2024",""
"20240181","28","65","20000253",NULL,"14","0","12","2024",""
"20240182","23","15","317",NULL,"14","0","12","2024",""
"20240183","10","287","319",NULL,"14","0","12","2024",""
"20240184","323","19","310",NULL,"14","0","12","2024",""
"20240185","287","65","34",NULL,"15","0","12","2024",""
"20240186","19","28","47",NULL,"15","0","12","2024",""
"20240187","32","23","31",NULL,"15","0","12","2024",""
"20240188","10","15","56",NULL,"15","0","12","2024",""
"20240189","10","32","17",NULL,"16","0","12","2024",""
"20240190","287","19","20000253",NULL,"16","0","12","2024",""
"20240191","28","323","317",NULL,"16","0","12","2024",""
"20240192","65","15","319",NULL,"16","0","12","2024",""
"20240193","287","323","310",NULL,"17","0","12","2024",""
"20240194","23","10","34",NULL,"17","0","12","2024",""
"20240195","65","32","47",NULL,"17","0","12","2024",""
"20240196","15","19","31",NULL,"17","0","12","2024",""
"20240197","23","65","56",NULL,"18","0","12","2024",""
"20240198","287","28","17",NULL,"18","0","12","2024",""
"20240199","19","32","20000253",NULL,"18","0","12","2024",""
"20240200","15","323","317",NULL,"18","0","12","2024",""
"20240201","310","317","7",NULL,"1","0","13","2024",""
"20240202","31","56","61",NULL,"1","0","13","2024",""
"20240203","47","17","41",NULL,"1","0","13","2024",""
"20240205","34","20000253","295",NULL,"1","0","13","2024",""
"20240206","47","20000253","9",NULL,"2","0","13","2024",""
"20240208","310","319","4",NULL,"2","0","13","2024",""
"20240209","31","17","11",NULL,"2","0","13","2024",""
"20240210","317","34","13",NULL,"2","0","13","2024",""
"20240211","56","17","306",NULL,"3","0","13","2024",""
"20240212","317","47","7",NULL,"3","0","13","2024",""
"20240213","34","319","61",NULL,"3","0","13","2024",""
"20240215","20000253","31","41",NULL,"3","0","13","2024",""
"20240216","31","317","295",NULL,"4","0","13","2024",""
"20240217","310","34","9",NULL,"4","0","13","2024",""
"20240218","56","20000253","4",NULL,"4","0","13","2024",""
"20240219","47","319","11",NULL,"4","0","13","2024",""
"20240221","20000253","17","13",NULL,"5","0","13","2024",""
"20240222","310","47","306",NULL,"5","0","13","2024",""
"20240223","317","56","7",NULL,"5","0","13","2024",""
